agents,features,traits,regions,usediter,non_zero_edges
25,50,100,1,32832,0
25,50,100,3,26919,0
25,50,100,1,30813,0
25,50,100,1,27585,0
25,50,300,6,19401,0
25,50,300,5,15295,0
25,50,300,9,9773,0
25,50,300,17,3045,0
25,50,300,14,7293,0
25,50,300,10,10006,0
25,50,300,4,19378,0
25,50,300,8,10856,0
25,50,300,12,8192,0
25,50,300,9,8313,0
25,50,500,15,3005,0
25,50,500,16,2451,0
25,50,500,23,603,0
25,50,500,12,7022,0
25,50,500,11,7186,0
25,50,500,17,4136,0
25,50,500,17,1710,0
25,50,500,15,3795,0
25,50,500,19,1775,0
25,50,500,20,1879,0
25,50,1000,19,1436,0
25,50,1000,22,807,0
25,50,1000,18,1705,0
25,50,1000,23,597,0
25,50,1000,21,900,0
25,50,1000,20,1372,0
25,50,1000,19,1741,0
25,50,1000,21,1407,0
25,50,1000,22,620,0
25,50,1000,21,863,0
